"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,       -4.43432461,      -12.34154935,      -12.46670465,       1.089443642,     -0.6999559842,        3.08610942
          0,           0,           1,      -4.688355113,      -1.924968187,      -2.178526747,      0.7492843749,     -0.7650533267,       3.303893923
          0,           0,           2,      -4.842817657,      -1.981467443,       -2.36539982,      0.5689995593,     -0.8247626736,       3.283414964
          0,           0,           3,      -4.904319684,      -2.085552768,      -2.489425572,      0.5263896405,     -0.8799311475,        3.26454411
          0,           0,           4,      -4.948467124,      -2.155583938,      -2.626544525,      0.4958003159,     -0.9312232507,       3.250549383
          0,           0,           5,      -5.004738796,      -2.209951225,      -2.727057146,      0.4351910827,     -0.9791682703,       3.242037052
          0,           0,           6,      -5.082723706,      -2.269650062,      -2.809016494,      0.3366018406,      -1.024193804,       3.237973397
          0,           0,           7,      -5.155897041,      -2.319503731,      -2.913256737,       0.232534371,      -1.066649807,       3.237275794
          0,           0,           8,      -5.225385051,      -2.360200658,       -3.00681902,      0.1268165884,      -1.106826147,       3.230989525
          0,           0,           9,      -5.297110461,      -2.402470799,      -3.095430149,     0.01644402214,      -1.144965485,       3.222496737
          0,           0,          10,      -5.349644919,      -2.445155266,      -3.195695373,    -0.06354500799,         -1.181273,       3.207828737
          0,           0,          11,       -5.38301617,      -2.483211739,      -3.287724071,     -0.1153843859,      -1.215923741,       3.190304233
          0,           0,          12,      -5.419371238,      -2.517099966,      -3.363054818,     -0.1967226757,      -1.249068252,       3.169414386
          0,           0,          13,      -5.456924566,      -2.549027897,      -3.437512766,     -0.3166826739,      -1.280837032,       3.145949823
          0,           0,          14,      -5.481745317,      -2.579453048,      -3.509087294,     -0.4154588444,      -1.311343949,       3.120025886
          0,           0,          15,       -5.49727239,      -2.608002153,      -3.572196971,     -0.4648846144,      -1.340688972,       3.091749471
          0,           0,          16,      -5.513946235,       -2.63471647,      -3.631480504,     -0.5241142983,      -1.368960371,       3.061289631
          0,           0,          17,      -5.532111755,      -2.659893828,      -3.684261565,     -0.6196867532,      -1.396236495,       3.028842687
          0,           0,          18,      -5.546933819,      -2.683774417,      -3.724725261,     -0.7215992944,      -1.422587224,       2.994611726
          0,           0,          19,       -5.55741592,      -2.706535168,      -3.756686364,     -0.7889055008,      -1.448075165,       2.958799809
          0,           0,          20,      -5.566264428,      -2.728292039,      -3.784668741,     -0.8343352906,      -1.472756632,       2.921610299
          0,           0,          21,      -5.575502547,      -2.749116781,      -3.807185252,      -0.894441683,      -1.496682481,       2.883247138
          0,           0,          22,      -5.584923137,      -2.769204448,      -3.825060873,     -0.9829329929,      -1.519898798,       2.843898941
          0,           0,          23,       -5.59385798,      -2.788541625,      -3.843705584,      -1.060546675,       -1.54244749,       2.803777328
          0,           0,          24,       -5.60288405,      -2.807233582,      -3.858776681,      -1.111242116,      -1.564366778,       2.763124553
          0,           0,          25,       -5.61176936,      -2.825490601,      -3.871154612,      -1.135043462,      -1.585691628,       2.722190827
          0,           0,          26,      -5.619800894,      -2.843203355,      -3.880374201,      -1.157072178,      -1.606454116,       2.681195427
          0,           0,          27,      -5.627040597,      -2.860212555,      -3.886535836,      -1.204673551,      -1.626683742,       2.640356688
          0,           0,          28,      -5.633858091,      -2.876645694,      -3.892779477,      -1.258446205,      -1.646407705,       2.599886154
          0,           0,          29,      -5.640122524,      -2.892584254,      -3.898624216,      -1.297392321,       -1.66565114,       2.559977896
          0,           0,          30,      -5.645890965,      -2.908066151,        -3.9028198,      -1.320354187,      -1.684437325,       2.520808043
          0,           0,          31,      -5.651446103,      -2.923110719,      -3.905363348,      -1.337879411,       -1.70278786,       2.482550665
          0,           0,          32,      -5.656992487,      -2.937744419,      -3.906736912,      -1.356674434,      -1.720722835,       2.445377719
